page,text,identifier_range_y0,identifier_range_y1
4,159216,470.9704,482.6104
4,159227,482.6104,494.2504
4,159255,494.2504,505.8904
4,159472,505.8904,517.5304
4,159116,517.5304,529.1704
4,159127,529.1704,540.8104000000001
4,159440,540.8104000000001,552.4504
4,163668,552.4504,564.0904
4,164039,564.0904,575.7304
4,164132,575.7304,587.3704
4,168231,587.3704,599.0104
4,168457,599.0104,610.6804
4,168855,610.6804,622.3204000000001
4,168933,622.3204000000001,633.9604
4,169187,633.9604,645.6004
4,169950,645.6004,657.2404
4,170544,657.2404,668.8804
4,172055,668.8804,680.5204
4,173025,680.5204,692.1604
4,173244,692.1604,703.7964
4,173249,703.7964,715.4364
4,174394,715.4364,727.0764
4,176228,727.0764,738.7164
4,170690,738.7164,750.3564
4,168599,750.3564,761.9964
5,Ref,761.9964,69.64999999999998
5,172922,69.64999999999998,86.92039999999997
5,175435,86.92039999999997,98.56039999999996
5,171645,98.56039999999996,110.20039999999995
5,133198,110.20039999999995,121.84039999999993
5,172347,121.84039999999993,133.48039999999992
5,158771,133.48039999999992,145.1203999999999
5,135550,145.1203999999999,156.7604
5,174080,156.7604,168.4004
5,135614,168.4004,180.04039999999998
5,158784,180.04039999999998,191.68039999999996
5,166599,191.68039999999996,203.32039999999995
5,167670,203.32039999999995,214.96039999999994
5,138534,214.96039999999994,226.60039999999992
5,140440,226.60039999999992,238.2403999999999
5,174004,238.2403999999999,249.91039999999998
5,140576,249.91039999999998,261.55039999999997
5,143213,261.55039999999997,273.19039999999995
5,167914,273.19039999999995,284.8304
5,173474,284.8304,296.4704
5,143478,296.4704,308.1104
5,171969,308.1104,319.7504
5,145664,319.7504,331.3904
5,175347,331.3904,343.0304
5,159447,343.0304,354.67040000000003
5,170741,354.67040000000003,366.3104
5,145762,366.3104,377.9504
5,158772,377.9504,389.5904
5,145841,389.5904,401.23040000000003
5,166364,401.23040000000003,412.8704
5,158778,412.8704,424.5304
5,149148,424.5304,436.17040000000003
5,145674,436.17040000000003,447.8104
5,168210,447.8104,459.4504
5,159302,459.4504,471.0904
5,159284,471.0904,482.73040000000003
5,152866,482.73040000000003,494.3704
5,158533,494.3704,506.0104
5,159225,506.0104,517.6504
5,159247,517.6504,535.0504000000001
5,159260,535.0504000000001,552.4504
5,159283,552.4504,564.0904
5,159290,564.0904,575.7304
5,159303,575.7304,587.3704
5,159468,587.3704,599.0104
5,159483,599.0104,610.6804
5,159156,610.6804,622.3204000000001
5,162317,622.3204000000001,633.9604
5,163952,633.9604,645.6004
5,158776,645.6004,657.2404
