,page,origin_x,origin_y,concatenated_text
94,2,72.02400207519531,96.8599853515625,  
95,2,77.66400146484375,126.97998046875,YG67 ZZD 
96,2,171.6199951171875,126.97998046875,Peugeot 
97,2,272.69000244140625,112.4599609375,508 GT line Blue HDI S/S 
98,2,77.66400146484375,142.0999755859375,SN19 BLG 
99,2,171.6199951171875,142.0999755859375,Toyota 
100,2,272.69000244140625,142.0999755859375,Corolla 
101,2,77.66400146484375,157.219970703125,GC21ORX 
102,2,171.6199951171875,157.219970703125,Skoda 
103,2,272.69000244140625,157.219970703125,Octavia SE TDI 
104,2,77.66400146484375,186.8599853515625,FN65 OXZ 
105,2,171.6199951171875,186.8599853515625,Vauxhall 
106,2,272.69000244140625,172.3399658203125,Astra Tech Line CDTI S/S 
107,2,77.66400146484375,201.97998046875,FG69 EOD 
108,2,171.6199951171875,201.97998046875,Ford 
109,2,272.69000244140625,201.97998046875,Tourneo Courier 
110,2,77.66400146484375,217.0999755859375,BV20 PEO 
111,2,171.6199951171875,217.0999755859375,Skoda 
112,2,272.69000244140625,217.0999755859375,Octavia 
113,2,77.66400146484375,232.0999755859375,FM23 DWP 
114,2,171.6199951171875,232.0999755859375,Dacia 
115,2,272.69000244140625,232.0999755859375,Jogger Essential 
116,2,77.66400146484375,247.219970703125,SB18 PXW 
117,2,171.6199951171875,247.219970703125,Nissan Leaf 
118,2,272.69000244140625,247.219970703125,  
119,2,77.66400146484375,276.8599853515625,YP18WXO 
120,2,171.6199951171875,262.3399658203125,Vauxhall Vivaro 
121,2,272.69000244140625,276.8599853515625,X83 
122,2,77.66400146484375,306.52996826171875,H22 LAH 
123,2,171.6199951171875,306.52996826171875,Hyundai 
124,2,272.69000244140625,292.010009765625,Tucson SE Connect T-GDI HEV A 
125,2,77.66400146484375,321.64996337890625,MF71 VDT 
126,2,171.6199951171875,321.64996337890625,Toyota 
127,2,272.69000244140625,321.64996337890625,Corola Hybred 
128,2,77.66400146484375,336.7699890136719,SK22 VFW 
129,2,171.6199951171875,336.7699890136719,MG5 
130,2,272.69000244140625,336.7699890136719,Electric Estate Excite 
131,2,77.66400146484375,351.7699890136719,GK23 PZX 
132,2,171.6199951171875,351.7699890136719,Skoda 
133,2,272.69000244140625,351.7699890136719,Octavia 1.0 TSi SE 
134,2,77.66400146484375,366.8899841308594,JM11KAS 
135,2,171.6199951171875,366.8899841308594,Skoda 
136,2,272.69000244140625,366.8899841308594,Superb S TD 
137,2,77.66400146484375,382.0099792480469,NV68KMU 
138,2,171.6199951171875,382.0099792480469,Vauxhall 
139,2,272.69000244140625,382.0099792480469,Insignia 
140,2,77.66400146484375,411.6499938964844,L7 GWR 
141,2,171.6199951171875,411.6499938964844,Hyundai 
142,2,272.69000244140625,397.1299743652344,Kona SE Connect T-GDI MHEV 
143,2,77.66400146484375,426.7699890136719,HN67 MXJ 
144,2,171.6199951171875,426.7699890136719,Skoda 
145,2,272.69000244140625,426.7699890136719,Octavia 
146,2,77.66400146484375,441.8899841308594,SF66GDY 
147,2,171.6199951171875,441.8899841308594,Peugeot 
148,2,272.69000244140625,441.8899841308594,Boxer 
149,2,77.66400146484375,456.8899841308594,Y10 TTX 
150,2,171.6199951171875,456.8899841308594,Mercedes Benz Euro 
151,2,77.66400146484375,486.5499877929687,VE21 AZX 
152,2,171.6199951171875,472.0299682617187,Vauxhall Insignia 
153,2,272.69000244140625,486.5499877929687,  
154,2,77.66400146484375,501.66998291015625,LM65  EKX 
155,2,171.6199951171875,501.66998291015625,Vauxhall 
156,2,272.69000244140625,501.66998291015625,X83 
157,2,77.66400146484375,516.7899780273438,SL22 YJA 
158,2,171.6199951171875,516.7899780273438,Nissan 
159,2,272.69000244140625,516.7899780273438,Leaf N-Connect 
160,2,77.66400146484375,531.9099731445312,SK66 TNX 
161,2,171.6199951171875,531.9099731445312,Vauxhall 
162,2,272.69000244140625,531.9099731445312,Vivaro Combi CDTi S/S 
163,2,77.66400146484375,546.9099731445312,BD67 CCV 
164,2,171.6199951171875,546.9099731445312,Skoda 
165,2,272.69000244140625,546.9099731445312,Superb 
166,2,77.66400146484375,562.0299682617188,T999 GPH 
167,2,171.6199951171875,562.0299682617188,Volkswagen 
168,2,272.69000244140625,562.0299682617188,Caddy Maxi Life 
169,2,77.66400146484375,577.1500244140625,SA22 GZU 
170,2,171.6199951171875,577.1500244140625,Vauxhall 
171,2,272.69000244140625,577.1500244140625,Euro 
172,2,77.66400146484375,592.1499633789062,YY69XRO 
