"LICENCE
REF","LICENCE
TYPE",ISSUE DATE,"EXPIRY
DATE","PLATE
NO",make,vrm,FUEL TYPE,"DATE VEHICLE
REGISTERED","LICENSED
TO CARRY","WHEELCHAIR
ACCESSIBLE","TAILGATE
LIFT",EXECUTIVE,page
157409,HACKNEY,01/02/2024,08/02/2025,149,FORD ALLIED PROCAB,CB54 BAX,DIESEL,10/07/2018,8,YES,NO,,3
157607,HACKNEY,26/02/2024,03/03/2025,151,RENAULT NX8,YH21 CZZ,DIESEL,01/03/2021,8,YES,NO,,3
158488,HACKNEY,04/05/2023,25/05/2024,152,FORD TOURNEO,MK18 VAH,DIESEL,05/03/2018,6,YES,NO,,3
157460,HACKNEY,19/02/2024,03/03/2025,200,"FORD MINIBUS ALLIED
PROCAB",SF18 AUR,DIESEL,01/03/2018,8,YES,YES,,3
157761,HACKNEY,06/03/2024,24/03/2025,201,FORD MINIBUS,MA21 LWE,DIESEL,21/03/2021,8,YES,NO,,3
160873,HACKNEY,06/10/2023,05/10/2024,205,RENAULT TRAFIC,R13 EMT,DIESEL,07/09/2021,8,YES,NO,,3
162318,HACKNEY,31/10/2023,17/11/2024,206,FORD TRANSIT,SF18 RTZ,DIESEL,23/07/2018,6,YES,NO,,3
163718,HACKNEY,17/01/2024,10/02/2025,208,FORD TOURNEO,MA69 VXY,DIESEL,03/10/2019,8,YES,NO,,3
163904,HACKNEY,23/02/2024,03/03/2025,237,"MERCEDES VITO
114CDI TOURER",KR71 AKY,DIESEL,14/02/2022,6,YES,NO,,3
165475,HACKNEY,12/05/2023,29/05/2024,241,FORD TOURNEO,MX22 WLF,HYBRID,26/05/2022,8,YES,NO,,3
166224,HACKNEY,29/06/2023,14/07/2024,243,RENAULT TRAFIC,TT22 PPE,DIESEL,27/06/2022,8,YES,NO,,3
