"LICENCE
REF","LICENCE
TYPE",ISSUE DATE,"EXPIRY
DATE","PLATE
NO",make,vrm,FUEL TYPE,"DATE VEHICLE
REGISTERED","LICENSED
TO CARRY","WHEELCHAIR
ACCESSIBLE","TAILGATE
LIFT",EXECUTIVE,page
122882,"PRIVATE
HIRE",17/04/2024,05/11/2024,2490,SEAT TOLEDO,MK65 YRM,DIESEL,01/09/2015,4,NO,NO,,8
122698,"PRIVATE
HIRE",29/11/2023,28/05/2024,2492,SEAT TOLEDO,MD15 ZWR,DIESEL,17/08/2015,4,NO,NO,,8
123599,"PRIVATE
HIRE",12/12/2023,29/06/2024,2498,SEAT TOLEDO,MF65 FHU,DIESEL,30/09/2015,4,NO,NO,,8
147479,"PRIVATE
HIRE",25/03/2024,24/09/2024,2510,RENAULT MEGANE,EG15 FVM,DIESEL,31/07/2015,4,NO,NO,,8
152874,"PRIVATE
HIRE",30/11/2023,06/06/2024,2515,"TOYOTA PRIUS
BUSINESS",MC19 UCF,HYBRID,07/08/2019,4,NO,NO,,8
141778,"PRIVATE
HIRE",17/11/2023,25/05/2024,2516,VW PASSAT,MA64 JYS,DIESEL,15/10/2014,4,NO,NO,,8
"LICENCE
REF","LICENCE
TYPE",ISSUE DATE,"EXPIRY
DATE","PLATE
NO",VEHICLE TYPE,REG,FUEL TYPE,"DATE VEHICLE
REGISTERED","LICENSED
TO CARRY","WHEELCHAIR
ACCESSIBLE","TAILGATE
LIFT",EXECUTIVE,9
147512,"PRIVATE
HIRE",28/11/2023,27/05/2024,2517,SKODA OCTAVIA,GF16 FRO,DIESEL,22/04/2016,4,NO,NO,,9
141783,"PRIVATE
HIRE",27/12/2023,02/07/2024,2518,VW SHARAN,SA18 GWU,DIESEL,16/03/2018,6,NO,NO,,9
128364,"PRIVATE
HIRE",16/01/2024,15/07/2024,2520,SEAT TOLEDO,CU16 GUE,DIESEL,28/04/2016,4,NO,NO,,9
149387,"PRIVATE
HIRE",24/10/2023,23/04/2024,2526,"SKODA OCTAVIA SE
BUSINESS",DK65 WVP,DIESEL,03/09/2015,4,NO,NO,,9
135540,"PRIVATE
HIRE",28/12/2023,11/07/2024,2529,SKODA OCTAVIA,BD14 NPV,DIESEL,30/04/2014,4,NO,NO,,9
140540,"PRIVATE
HIRE",28/03/2024,27/09/2024,2547,RENAULT MEGANE,BD64 UHE,DIESEL,18/11/2014,4,NO,NO,,9
141918,"PRIVATE
HIRE",26/01/2024,25/07/2024,2552,RENAULT MEGANE,KU14 EEX,DIESEL,06/08/2014,4,NO,NO,,9
136092,"PRIVATE
HIRE",26/02/2024,25/08/2024,2559,RENAULT MEGANE,MT14 KBF,DIESEL,16/06/2014,4,NO,NO,,9
147366,"PRIVATE
HIRE",04/03/2024,11/09/2024,2563,SKODA OCTAVIA S TDI,LE16 RXJ,DIESEL,17/08/2016,4,NO,NO,,9
137329,"PRIVATE
HIRE",29/11/2023,28/05/2024,2570,RENAULT MEGANE,KV64 OAD,DIESEL,22/09/2014,4,NO,NO,,9
123600,"PRIVATE
HIRE",27/03/2024,26/09/2024,2579,SEAT TOLEDO,MF65 FJN,DIESEL,01/09/2015,4,NO,NO,,9
147720,"PRIVATE
HIRE",15/11/2023,08/06/2024,2587,SKODA OCTAVIA,LC65 BVS,PETROL,26/11/2015,4,NO,NO,,9
142214,"PRIVATE
HIRE",28/02/2024,29/08/2024,2596,SKODA OCTAVIA,DA15 SGU,DIESEL,01/06/2015,4,NO,NO,,9
122883,"PRIVATE
HIRE",06/11/2023,05/05/2024,2598,SEAT TOLEDO,MK65 YRO,DIESEL,01/09/2015,4,NO,NO,,9
148466,"PRIVATE
HIRE",10/11/2023,11/05/2024,2599,FORD FOCUS STYLE,LL66 XOY,DIESEL,14/12/2016,4,NO,NO,,9
142675,"PRIVATE
HIRE",09/01/2024,08/07/2024,2601,RENAULT MEGANE,AV64 DKA,DIESEL,12/02/2015,4,NO,NO,,9
142037,"PRIVATE
HIRE",09/01/2024,08/07/2024,2605,VW TOURAN,MW14 OEV,DIESEL,06/06/2014,6,NO,NO,,9
149047,"PRIVATE
HIRE",22/12/2023,22/06/2024,2606,RENAULT MEGANE,LX16 VYO,DIESEL,21/04/2016,4,NO,NO,,9
122885,"PRIVATE
HIRE",19/02/2024,18/08/2024,2619,SEAT TOLEDO,MK65 YRP,DIESEL,01/09/2015,4,NO,NO,,9
133875,"PRIVATE
HIRE",06/11/2023,19/05/2024,2623,SKODA OCTAVIA,SFZ 1546,DIESEL,10/03/2014,4,NO,NO,,9
"LICENCE
REF","LICENCE
TYPE",ISSUE DATE,"EXPIRY
DATE","PLATE
NO",VEHICLE TYPE,REG,FUEL TYPE,"DATE VEHICLE
REGISTERED","LICENSED
TO CARRY","WHEELCHAIR
ACCESSIBLE","TAILGATE
LIFT",EXECUTIVE,10
129536,"PRIVATE
HIRE",20/12/2023,26/06/2024,2625,MERCEDES BENZ,LL14 UBU,DIESEL,19/06/2014,4,NO,NO,,10
142054,"PRIVATE
HIRE",09/11/2023,10/05/2024,2626,"VAUXHALL VIVARO
2900 COMBI",YD64 JVL,DIESEL,23/09/2014,8,NO,NO,,10
137980,"PRIVATE
HIRE",06/11/2023,16/05/2024,2639,RENAULT MEGANE,BN63 YJJ,DIESEL,31/12/2013,4,NO,NO,,10
152260,"PRIVATE
HIRE",21/11/2023,22/05/2024,2642,MERCEDES BENZ,BT65 DXO,DIESEL,30/11/2015,4,NO,NO,,10
147783,"PRIVATE
HIRE",25/10/2023,24/04/2024,2646,"RENAULT MEGANE
DYAN",YP65 MWC,DIESEL,10/11/2015,4,NO,NO,,10
147692,"PRIVATE
HIRE",15/02/2024,30/09/2024,2648,SKODA OCTAVIA SE,AF15 NLK,DIESEL,20/07/2015,4,NO,NO,,10
147799,"PRIVATE
HIRE",09/11/2023,23/05/2024,2651,SKODA SUPERB SE,BK15 VCT,DIESEL,15/04/2015,4,NO,NO,,10
151330,"PRIVATE
HIRE",09/11/2023,08/05/2024,2654,VOLKSWAGEN JETTA,GD66 DWM,DIESEL,05/12/2016,4,NO,NO,,10
143141,"PRIVATE
HIRE",27/02/2024,26/08/2024,2657,SKODA OCTAVIA,NJ15 ZSN,DIESEL,30/03/2015,4,NO,NO,,10
137991,"PRIVATE
HIRE",09/04/2024,08/10/2024,2675,MERCEDES VITO,DK67 MTZ,DIESEL,29/09/2017,8,NO,NO,YES,10
143450,"PRIVATE
HIRE",06/03/2024,05/09/2024,2687,RENAULT MEGANE,RV65 PVL,DIESEL,12/10/2015,4,NO,NO,,10
151345,"PRIVATE
HIRE",14/11/2023,13/05/2024,2698,VAUXHALL INSIGNIA,RK17 SXU,DIESEL,02/03/2017,4,NO,NO,,10
150825,"PRIVATE
HIRE",15/03/2024,14/09/2024,2700,TOYOTA PRIUS + ICON,LT16 SOE,HYBRID,31/03/2016,6,NO,NO,,10
142496,"PRIVATE
HIRE",21/12/2023,20/06/2024,2710,VW PASSAT,GM17 GWC,DIESEL,21/06/2017,4,NO,NO,,10
141992,"PRIVATE
HIRE",23/01/2024,22/07/2024,2722,"RENAULT MEGANE D-
QUE",AV14 KLZ,DIESEL,30/06/2014,4,NO,NO,,10
137378,"PRIVATE
HIRE",25/01/2024,24/07/2024,2723,VW,WF14 ZYB,DIESEL,23/06/2014,6,NO,NO,,10
142096,"PRIVATE
HIRE",15/12/2023,14/06/2024,2728,RENAULT MEGANE,YD64 KKO,DIESEL,10/10/2014,4,NO,NO,,10
145740,"PRIVATE
HIRE",10/11/2023,26/05/2024,2730,SKODA OCTAVIA,DK15 YSN,DIESEL,30/06/2015,4,NO,NO,,10
118099,"PRIVATE
HIRE",21/02/2024,24/08/2024,2731,SKODA OCTAVIA,FY11 KSE,DIESEL,10/03/2011,4,NO,NO,,10
137282,"PRIVATE
HIRE",15/11/2023,14/05/2024,2749,RENAULT MEGANE,WN63 TGU,DIESEL,21/10/2013,4,NO,NO,,10
"LICENCE
REF","LICENCE
TYPE",ISSUE DATE,"EXPIRY
DATE","PLATE
NO",VEHICLE TYPE,REG,FUEL TYPE,"DATE VEHICLE
REGISTERED","LICENSED
TO CARRY","WHEELCHAIR
ACCESSIBLE","TAILGATE
LIFT",EXECUTIVE,11
136253,"PRIVATE
HIRE",23/02/2024,27/08/2024,2750,SKODA OCTAVIA,BJ63 YZS,DIESEL,31/10/2013,4,NO,NO,,11
134253,"PRIVATE
HIRE",07/12/2023,06/06/2024,2752,RENAULT MEGANE,PN63 WJY,DIESEL,30/09/2013,4,NO,NO,,11
118596,"PRIVATE
HIRE",28/11/2023,27/05/2024,2760,SEAT TOLEDO,MM63 BSX,DIESEL,28/01/2014,4,NO,NO,,11
142196,"PRIVATE
HIRE",13/02/2024,12/08/2024,2769,RENAULT MEGANE,LL64 YBS,DIESEL,25/11/2014,4,NO,NO,,11
148434,"PRIVATE
HIRE",24/11/2023,23/05/2024,2770,RENAULT MEGANE,NJ65 YMP,DIESEL,19/09/2015,4,NO,NO,,11
142105,"PRIVATE
HIRE",21/12/2023,02/07/2024,2776,RENAULT MEGANE,BL14 NYY,DIESEL,08/08/2014,4,NO,NO,,11
148780,"PRIVATE
HIRE",05/12/2023,06/06/2024,2778,SEAT ALHAMBRA SE,KM17 LGO,DIESEL,20/04/2017,6,NO,NO,,11
140757,"PRIVATE
HIRE",14/03/2024,21/09/2024,2783,CITROEN BERLINGO,PK14 VYP,DIESEL,29/04/2014,4,NO,NO,,11
142119,"PRIVATE
HIRE",15/04/2024,14/10/2024,2794,SEAT ALHAMBRA SE,KR17 ZBZ,DIESEL,21/04/2017,6,NO,NO,,11
122068,"PRIVATE
HIRE",25/01/2024,25/07/2024,2795,PEUGEOT,SF15 GVO,DIESEL,01/07/2015,4,NO,NO,,11
149623,"PRIVATE
HIRE",13/02/2024,12/08/2024,2796,VAUXHALL ASTRA,ML18 TRV,DIESEL,30/03/2018,4,NO,NO,,11
142391,"PRIVATE
HIRE",11/12/2023,10/06/2024,2798,MERCEDES VITO,SC16 FNT,DIESEL,14/06/2016,8,NO,NO,,11
140661,"PRIVATE
HIRE",22/03/2024,04/10/2024,2802,MERCEDES BENZ,AF65 SZL,DIESEL,30/09/2015,4,NO,NO,,11
128362,"PRIVATE
HIRE",16/01/2024,15/07/2024,2806,SEAT TOLEDO,CU16 GUD,DIESEL,28/04/2016,4,NO,NO,,11
142456,"PRIVATE
HIRE",13/12/2023,14/06/2024,2817,RENAULT MEGANE,AV14 KMO,DIESEL,30/06/2014,4,NO,NO,,11
147835,"PRIVATE
HIRE",06/12/2023,05/06/2024,2825,RENAULT MEGANE,RX15 VWU,DIESEL,02/04/2015,4,NO,NO,,11
151717,"PRIVATE
HIRE",19/10/2023,30/04/2024,2828,TOYOTA AURIS,BN66 GYK,HYBRID,28/09/2016,4,NO,NO,,11
142359,"PRIVATE
HIRE",28/11/2023,02/06/2024,2836,RENAULT MEGANE,MV15 OWR,DIESEL,01/04/2015,4,NO,NO,,11
147925,"PRIVATE
HIRE",10/01/2024,09/07/2024,2837,RENAULT MEGANE,ML15 UKG,DIESEL,11/05/2015,4,NO,NO,,11
136446,"PRIVATE
HIRE",16/02/2024,15/08/2024,2844,TOYOTA AVENSIS,LS15 PXV,PETROL,31/03/2015,4,NO,NO,,11
"LICENCE
REF","LICENCE
TYPE",ISSUE DATE,"EXPIRY
DATE","PLATE
NO",VEHICLE TYPE,REG,FUEL TYPE,"DATE VEHICLE
REGISTERED","LICENSED
TO CARRY","WHEELCHAIR
ACCESSIBLE","TAILGATE
LIFT",EXECUTIVE,12
149254,"PRIVATE
HIRE",20/11/2023,03/06/2024,2845,SKODA OCTAVIA,DF16 WUX,DIESEL,23/06/2016,4,NO,NO,,12
144135,"PRIVATE
HIRE",28/11/2023,27/05/2024,2848,SKODA RAPID,OW66 HRD,DIESEL,31/01/2017,4,NO,NO,,12
136450,"PRIVATE
HIRE",26/01/2024,31/07/2024,2850,TOYOTA AURIS,MW14 NPN,DIESEL,20/06/2014,4,NO,NO,,12
155786,"PRIVATE
HIRE",24/01/2024,02/08/2024,2852,FORD FOCUS,GJ67 WSV,DIESEL,30/09/2017,4,NO,NO,,12
142505,"PRIVATE
HIRE",15/11/2023,04/06/2024,2858,FORD GRAND C-MAX,BL64 PZV,DIESEL,23/12/2014,6,NO,NO,,12
130744,"PRIVATE
HIRE",25/10/2023,24/04/2024,2860,RENAULT MEGANE,BN63 YKD,DIESEL,27/11/2013,4,NO,NO,,12
122886,"PRIVATE
HIRE",30/11/2023,29/05/2024,2862,SEAT TOLEDO,MK65 YRS,DIESEL,01/09/2015,4,NO,NO,,12
137129,"PRIVATE
HIRE",20/10/2023,19/04/2024,2868,RENAULT MEGANE,SH63 SFJ,DIESEL,31/10/2013,4,NO,NO,,12
133871,"PRIVATE
HIRE",26/03/2024,25/09/2024,2869,SKODA OCTAVIA,HK14 HVX,DIESEL,30/06/2014,4,NO,NO,,12
148806,"PRIVATE
HIRE",22/01/2024,21/07/2024,2874,RENAULT MEGANE,ML16 VBP,DIESEL,08/04/2016,4,NO,NO,,12
128363,"PRIVATE
HIRE",07/02/2024,06/08/2024,2877,SEAT TOLEDO,CU16 GVC,DIESEL,24/05/2016,4,NO,NO,,12
141878,"PRIVATE
HIRE",29/01/2024,28/07/2024,2884,MERCEDES VITO,SJ16 EYG,DIESEL,29/03/2016,8,NO,NO,,12
142016,"PRIVATE
HIRE",21/12/2023,21/06/2024,2893,SKODA OCTAVIA,VFZ 7454,DIESEL,19/01/2015,4,NO,NO,,12
128661,"PRIVATE
HIRE",26/01/2024,25/07/2024,2895,RENAULT MEGANE,LO63 SFY,DIESEL,19/12/2013,4,NO,NO,,12
130727,"PRIVATE
HIRE",29/11/2023,28/05/2024,2896,RENAULT MEGANE,DN65 AOW,DIESEL,30/09/2015,4,NO,NO,,12
144025,"PRIVATE
HIRE",05/04/2024,04/10/2024,2899,SKODA OCTAVIA,DK66 XOD,DIESEL,01/09/2016,4,NO,NO,,12
136097,"PRIVATE
HIRE",17/11/2023,16/05/2024,2905,RENAULT MEGANE,SC14 ZTS,DIESEL,27/06/2014,4,NO,NO,,12
142446,"PRIVATE
HIRE",09/11/2023,02/06/2024,2914,VW PASSAT,VE64 FND,DIESEL,10/12/2014,4,NO,NO,,12
144388,"PRIVATE
HIRE",16/04/2024,05/11/2024,2915,SKODA RAPID SE,MW64 OYN,DIESEL,30/11/2014,4,NO,NO,,12
151121,"PRIVATE
HIRE",22/12/2023,12/07/2024,2928,DACIA LOGAN,MV16 LRL,DIESEL,28/04/2016,4,NO,NO,,12
"LICENCE
REF","LICENCE
TYPE",ISSUE DATE,"EXPIRY
DATE","PLATE
NO",VEHICLE TYPE,REG,FUEL TYPE,"DATE VEHICLE
REGISTERED","LICENSED
TO CARRY","WHEELCHAIR
ACCESSIBLE","TAILGATE
LIFT",EXECUTIVE,13
133390,"PRIVATE
HIRE",14/12/2023,26/06/2024,2929,SKODA OCTAVIA,BL13 MXU,DIESEL,29/07/2013,4,NO,NO,,13
152661,"PRIVATE
HIRE",03/11/2023,27/05/2024,2940,"TOYOTA AVENSIS
BUSINESS EDITION",VE65 ZDT,DIESEL,19/01/2016,4,NO,NO,,13
128513,"PRIVATE
HIRE",13/02/2024,12/08/2024,2941,RENAULT MEGANE,HN63 NNV,DIESEL,16/06/2015,4,NO,NO,,13
148839,"PRIVATE
HIRE",15/11/2023,23/05/2024,2948,TOYOTA AURIS ACTIVE,FA65 KXG,DIESEL,15/02/2016,4,NO,NO,,13
130582,"PRIVATE
HIRE",02/04/2024,03/10/2024,2962,SKODA SUPERB,B17 DOH,DIESEL,26/04/2015,4,NO,NO,,13
148882,"PRIVATE
HIRE",28/02/2024,03/09/2024,2963,TOYOTA VERSO,PF16 JSZ,DIESEL,30/06/2016,6,NO,NO,,13
151526,"PRIVATE
HIRE",02/11/2023,06/05/2024,2966,HYUNDAI I30,EN67 CZB,DIESEL,15/01/2018,4,NO,NO,,13
143978,"PRIVATE
HIRE",19/03/2024,19/09/2024,2967,"SKODA OCTAVIA SE
TDI",GJ67 KTK,DIESEL,06/10/2017,4,NO,NO,,13
135594,"PRIVATE
HIRE",11/03/2024,10/09/2024,2968,RENAULT MEGANE,LX14 NTU,DIESEL,30/05/2014,4,NO,NO,,13
137168,"PRIVATE
HIRE",27/10/2023,26/04/2024,2979,SEAT LEON ST,MF16 HZA,DIESEL,01/03/2016,4,NO,NO,,13
148752,"PRIVATE
HIRE",18/12/2023,02/07/2024,2982,SEAT ALHAMBRA,SM66 EJU,DIESEL,29/11/2016,6,NO,NO,,13
149477,"PRIVATE
HIRE",27/03/2024,29/09/2024,2991,SKODA OCTAVIA,NJ16 LZW,DIESEL,15/03/2016,4,NO,NO,,13
149147,"PRIVATE
HIRE",14/12/2023,16/06/2024,2999,TOYOTA,WU66 OGX,DIESEL,09/09/2016,6,NO,NO,,13
128338,"PRIVATE
HIRE",24/01/2024,23/07/2024,3000,SEAT TOLEDO,CU16 GUC,DIESEL,28/04/2016,4,NO,NO,,13
144298,"PRIVATE
HIRE",13/11/2023,12/05/2024,3006,TOYOTA PRIUS,MV68 MZY,HYBRID,08/09/2018,4,NO,NO,,13
144309,"PRIVATE
HIRE",15/04/2024,14/10/2024,3007,RENAULT MEGANE,BK64 HSG,DIESEL,30/11/2014,4,NO,NO,,13
139969,"PRIVATE
HIRE",30/01/2024,14/08/2024,3009,RENAULT MEGANE,UFZ 8562,DIESEL,06/11/2014,4,NO,NO,,13
151769,"PRIVATE
HIRE",10/01/2024,09/07/2024,3010,SKODA OCTAVIA,DA66 LWM,DIESEL,23/09/2016,4,NO,NO,,13
144744,"PRIVATE
HIRE",08/04/2024,15/10/2024,3014,SKODA SUPERB,WK15 YMD,DIESEL,30/04/2015,4,NO,NO,,13
144797,"PRIVATE
HIRE",20/03/2024,25/09/2024,3016,"TOYOTA AURIS ICON
TSS",FH17 CXK,HYBRID,31/05/2017,4,NO,NO,,13
"LICENCE
REF","LICENCE
TYPE",ISSUE DATE,"EXPIRY
DATE","PLATE
NO",VEHICLE TYPE,REG,FUEL TYPE,"DATE VEHICLE
REGISTERED","LICENSED
TO CARRY","WHEELCHAIR
ACCESSIBLE","TAILGATE
LIFT",EXECUTIVE,14
151746,"PRIVATE
HIRE",27/11/2023,26/05/2024,3017,"RENAULT MEGANE
EXPRESSION",BJ65 BBU,DIESEL,31/12/2015,4,NO,NO,,14
152185,"PRIVATE
HIRE",01/12/2023,31/05/2024,3022,HYUNDAI IONIQ,SW67 KKL,HYBRID,19/12/2017,4,NO,NO,,14
129314,"PRIVATE
HIRE",24/01/2024,01/08/2024,3027,RENAULT TRAFIC,YL16 FLH,DIESEL,22/06/2016,8,NO,NO,,14
151511,"PRIVATE
HIRE",11/01/2024,10/07/2024,3030,PEUGEOT 308,PE65 GSY,DIESEL,15/10/2015,4,NO,NO,,14
130856,"PRIVATE
HIRE",08/03/2024,07/09/2024,3036,TOYOTA AURIS,MF66 PDU,DIESEL,26/09/2016,4,NO,NO,,14
122767,"PRIVATE
HIRE",27/10/2023,26/04/2024,3039,SKODA RAPID,MH15 GKX,DIESEL,27/08/2015,4,NO,NO,,14
149305,"PRIVATE
HIRE",18/01/2024,26/07/2024,3042,TOYOTA VERSO ICON,YA16 AEC,PETROL,31/05/2016,6,NO,NO,,14
151909,"PRIVATE
HIRE",13/12/2023,12/06/2024,3051,TOYOTA COROLLA,ML69 AHJ,PETROL,08/10/2019,4,NO,NO,,14
151994,"PRIVATE
HIRE",17/11/2023,17/05/2024,3055,FORD MONDEO,MJ69 NBO,HYBRID,01/11/2019,4,NO,NO,,14
151979,"PRIVATE
HIRE",20/03/2024,19/09/2024,3060,KIA OPTIMA,LB17 LCO,DIESEL,17/10/2017,4,NO,NO,,14
134805,"PRIVATE
HIRE",08/12/2023,08/06/2024,3062,RENAULT MEGANE,MC65 PPU,DIESEL,28/01/2016,4,NO,NO,,14
152041,"PRIVATE
HIRE",19/04/2024,06/11/2024,3068,FORD MINIBUS,CH62 SYM,DIESEL,21/03/2017,8,NO,NO,,14
135865,"PRIVATE
HIRE",11/04/2024,10/10/2024,3070,VAUXHALL,SG66 OWK,DIESEL,01/09/2016,8,NO,NO,,14
137136,"PRIVATE
HIRE",11/04/2024,14/10/2024,3071,FORD TOURNEO,MJ15 JHV,DIESEL,15/05/2015,8,NO,NO,,14
152299,"PRIVATE
HIRE",14/02/2024,14/08/2024,3073,"VAUXHALL ZAFIRA
TOURER",BC16 NWB,DIESEL,08/08/2016,6,NO,NO,,14
128927,"PRIVATE
HIRE",19/04/2024,18/10/2024,3079,MERCEDES BENZ,DV62 AWZ,DIESEL,12/02/2016,4,NO,NO,,14
144906,"PRIVATE
HIRE",27/12/2023,26/06/2024,3082,RENAULT MEGANE,AV64 DFP,DIESEL,30/11/2014,4,NO,NO,,14
151810,"PRIVATE
HIRE",10/04/2024,20/10/2024,3093,HYUNDAI IONIQ,EF18 RZS,HYBRID,01/06/2018,4,NO,NO,,14
135984,"PRIVATE
HIRE",19/02/2024,18/08/2024,3094,MERCEDES BENZ,PO16 WCE,DIESEL,26/05/2016,8,NO,NO,,14
152153,"PRIVATE
HIRE",20/11/2023,21/05/2024,3096,TOYOTA AURIS B-ED,MV66 BXD,HYBRID,07/10/2016,4,NO,NO,,14
"LICENCE
REF","LICENCE
TYPE",ISSUE DATE,"EXPIRY
DATE","PLATE
NO",VEHICLE TYPE,REG,FUEL TYPE,"DATE VEHICLE
REGISTERED","LICENSED
TO CARRY","WHEELCHAIR
ACCESSIBLE","TAILGATE
LIFT",EXECUTIVE,15
152259,"PRIVATE
HIRE",17/11/2023,30/05/2024,3099,RENAULT MEGANE,BU16 EZD,DIESEL,21/03/2016,4,NO,NO,,15
130933,"PRIVATE
HIRE",16/02/2024,15/08/2024,3101,SKODA RAPID,VO66 UHX,DIESEL,30/09/2016,4,NO,NO,,15
135819,"PRIVATE
HIRE",23/02/2024,06/09/2024,3102,HONDA CIVIC,MV66 YTY,DIESEL,07/09/2016,4,NO,NO,,15
130940,"PRIVATE
HIRE",07/11/2023,14/05/2024,3104,SKODA OCTAVIA,GM14 ERO,DIESEL,18/06/2014,4,NO,NO,,15
130959,"PRIVATE
HIRE",09/04/2024,11/10/2024,3109,SKODA OCTAVIA,GF65 ZZH,DIESEL,09/11/2015,4,NO,NO,,15
145065,"PRIVATE
HIRE",16/11/2023,15/05/2024,3113,TOYOTA PRIUS,LN15 XYH,HYBRID,06/03/2015,6,NO,NO,YES,15
142503,"PRIVATE
HIRE",31/01/2024,30/07/2024,3115,RENAULT MEGANE,BU15 YOH,DIESEL,17/03/2015,4,NO,NO,,15
145156,"PRIVATE
HIRE",20/11/2023,19/05/2024,3121,"RENAULT MEGANE
LIMITED",GM15 KVB,DIESEL,23/06/2015,4,NO,NO,,15
131426,"PRIVATE
HIRE",27/11/2023,26/05/2024,3123,FORD TOURNEO,MJ66 GXB,DIESEL,03/10/2016,8,NO,NO,,15
131782,"PRIVATE
HIRE",20/10/2023,19/04/2024,3126,MERCEDES BENZ,BJ64 ECX,DIESEL,30/09/2014,4,NO,NO,YES,15
131824,"PRIVATE
HIRE",14/11/2023,20/05/2024,3128,TOYOTA AVENSIS,MK13 BYJ,DIESEL,22/05/2013,4,NO,NO,,15
152173,"PRIVATE
HIRE",22/01/2024,21/07/2024,3129,"TOYOTA AURIS BNES
ED VVT-I",GV16 FFB,HYBRID,30/06/2016,4,NO,NO,,15
152422,"PRIVATE
HIRE",11/01/2024,10/07/2024,3134,"VOLVO V40 R-DESIGN
NAV D2",MD16 SDU,DIESEL,30/06/2016,4,NO,NO,,15
132122,"PRIVATE
HIRE",12/12/2023,25/06/2024,3139,RENAULT MEGANE,LY13 CUJ,DIESEL,30/08/2013,4,NO,NO,,15
132017,"PRIVATE
HIRE",20/11/2023,19/05/2024,3153,SKODA OCTAVIA,YH63 YOP,DIESEL,24/10/2013,4,NO,NO,,15
135796,"PRIVATE
HIRE",12/02/2024,17/08/2024,3164,SKODA OCTAVIA,YC14 GKG,DIESEL,04/06/2014,4,NO,NO,,15
152810,"PRIVATE
HIRE",27/11/2023,03/06/2024,3167,FORD GRAND C-MAX,MA66 UWS,DIESEL,30/09/2016,6,NO,NO,,15
131991,"PRIVATE
HIRE",08/01/2024,12/07/2024,3172,SEAT LEON,KN65 EHH,DIESEL,15/10/2015,4,NO,NO,,15
132623,"PRIVATE
HIRE",19/03/2024,18/09/2024,3174,TOYOTA AVENSIS,MM66 SBX,DIESEL,17/01/2017,4,NO,NO,,15
132445,"PRIVATE
HIRE",11/01/2024,13/07/2024,3176,TOYOTA AURIS,MC15 OHW,DIESEL,24/07/2015,4,NO,NO,,15
"LICENCE
REF","LICENCE
TYPE",ISSUE DATE,"EXPIRY
DATE","PLATE
NO",VEHICLE TYPE,REG,FUEL TYPE,"DATE VEHICLE
REGISTERED","LICENSED
TO CARRY","WHEELCHAIR
ACCESSIBLE","TAILGATE
LIFT",EXECUTIVE,16
132555,"PRIVATE
HIRE",20/09/2023,24/04/2024,3179,SKODA OCTAVIA,CP66 NFL,DIESEL,12/01/2017,4,NO,NO,,16
132559,"PRIVATE
HIRE",10/11/2023,09/05/2024,3181,SKODA OCTAVIA,CP66 OWJ,DIESEL,12/01/2017,4,NO,NO,,16
132560,"PRIVATE
HIRE",18/03/2024,17/09/2024,3182,SKODA OCTAVIA,CP66 OWK,DIESEL,12/01/2017,4,NO,NO,,16
132567,"PRIVATE
HIRE",28/11/2023,27/05/2024,3186,SKODA OCTAVIA,CP66 SZY,DIESEL,18/01/2017,4,NO,NO,,16
132568,"PRIVATE
HIRE",04/12/2023,03/06/2024,3187,SKODA OCTAVIA,CP66 TAU,DIESEL,18/01/2017,4,NO,NO,,16
132569,"PRIVATE
HIRE",12/12/2023,11/06/2024,3188,SKODA OCTAVIA,CP66 SZZ,DIESEL,18/01/2017,4,NO,NO,,16
145946,"PRIVATE
HIRE",01/12/2023,11/06/2024,3191,HYUNDAI IONIQ,HV68 ZJU,HYBRID,30/09/2018,4,NO,NO,,16
132711,"PRIVATE
HIRE",25/01/2024,24/07/2024,3194,TOYOTA AVENSIS,GY14 PHO,DIESEL,30/04/2014,4,NO,NO,,16
137773,"PRIVATE
HIRE",31/10/2023,25/05/2024,3198,RENAULT MEGANE,BU63 DCY,DIESEL,31/12/2013,4,NO,NO,,16
133394,"PRIVATE
HIRE",13/03/2024,18/09/2024,3200,TOYOTA AVENSIS,FP14 LYA,DIESEL,13/06/2014,4,NO,NO,,16
134272,"PRIVATE
HIRE",03/04/2024,04/10/2024,3217,SKODA OCTAVIA,MJ14 MDV,DIESEL,24/04/2014,4,NO,NO,,16
134409,"PRIVATE
HIRE",06/12/2023,05/06/2024,3223,RENAULT MEGANE,CK63 FPY,DIESEL,21/11/2013,4,NO,NO,,16
146079,"PRIVATE
HIRE",22/12/2023,21/06/2024,3242,TOYOTA AURIS,FL65 ZYC,DIESEL,14/10/2015,4,NO,NO,,16
137442,"PRIVATE
HIRE",10/11/2023,09/05/2024,3246,TOYOTA VERSO,NJ63 HWV,DIESEL,30/09/2016,6,NO,NO,,16
137749,"PRIVATE
HIRE",30/11/2023,29/05/2024,3247,TOYOTA PRIUS,MX64 ZYE,HYBRID,22/09/2014,4,NO,NO,,16
137635,"PRIVATE
HIRE",16/11/2023,15/05/2024,3254,SKODA RAPID,MM14 XPT,DIESEL,11/07/2014,4,NO,NO,,16
137639,"PRIVATE
HIRE",12/12/2023,11/06/2024,3255,SKODA OCTAVIA,CN14 XEK,DIESEL,20/06/2014,4,NO,NO,,16
137550,"PRIVATE
HIRE",10/11/2023,09/05/2024,3257,RENAULT MEGANE,DU14 PNZ,DIESEL,21/08/2014,4,NO,NO,,16
